,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,richards bay,-28.7807276,32.0382856,65.73,83,100,13.49,ZA,1662940367
321,erzin,36.95383899999999,36.205229,72.84,82,0,1.83,TR,1662940367
322,ulaanbaatar,47.88639879999999,106.9057439,50.04,71,20,2.24,MN,1662940368
323,opobo,4.513370099999999,7.5284473,75.25,91,60,6.53,NG,1662940368
324,ponta do sol,32.6854883,-17.0864266,72.5,92,100,13.02,PT,1662940369
325,attawapiskat,52.9258846,-82.42889219999999,69.78,43,0,6.91,CA,1662940369
326,mpika,-11.8280231,31.4513314,62.51,49,36,6.2,ZM,1662940370
327,kahului,20.8893016,-156.4728725,87.78,69,40,16.11,US,1662940370
328,mathathane,-22.2657604,28.7460373,65.91,20,0,4.32,BW,1662940371
329,dzheguta,43.99571780000001,42.0491573,55.98,54,6,5.06,RU,1662940371
330,compostela,42.8768606,-8.5441729,69.3,83,0,2.3,ES,1662940372
331,ojinaga,29.5458844,-104.4082908,86.41,54,75,11.5,MX,1662940372
332,cocobeach,28.3200067,-80.6075513,84.22,82,0,5.75,US,1662940206
333,half moon bay,37.4635519,-122.4285862,89.91,76,0,20.71,US,1662940373
334,mbandaka,0.0265717,18.2970692,68.74,99,93,2.1,CD,1662940373
335,mentakab,3.484562,102.350255,74.21,96,100,0.4,MY,1662940374
336,rincon,18.3402164,-67.2500174,83.61,89,100,3.0,PR,1662940374
337,mookane,-23.6926,26.656281,68.18,17,0,2.8,BW,1662940375
338,alofi,-19.0553711,-169.9178709,82.47,65,44,10.36,NU,1662940375
339,sarh,9.141208599999999,18.3682641,72.37,97,100,4.25,TD,1662940376
340,anchorage,61.2175758,-149.8996785,56.86,82,100,13.8,US,1662940376
341,burgeo,47.613413,-57.610491,63.05,78,4,29.86,CA,1662940377
